name,iso,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2014
Argentina,ARG,12.7135335022,12.6063602381,12.499186974,12.39201371,12.2848404459,12.1776671819,12.0704939178,11.9633206538,11.8561473897,11.7489741257,
Australia,AUS,16.7320984601,16.7360035406,16.7399086211,16.7438137016,16.7477187821,16.7516238626,16.7555289432,16.7594340237,16.7633391042,16.7672441847,
Brazil,BRA,65.4098878459,65.1056215857,64.8013553255,64.4970890653,64.1928228051,63.8885565449,63.5842902847,63.2800240245,62.9757577643,62.6714915041,
China,CHN,16.7380076159,16.9495475728,17.1610875296,17.3726274865,17.5841674433,17.7957263555,18.0072857184,18.2188261259,18.4303665334,18.6419069409,
France,FRA,26.3639451683,26.519725476,26.6755057838,26.8312860915,26.9870663993,27.1428467071,27.2986270148,27.4544073226,27.6101876303,27.7659679381,
Germany,DEU,32.3661673302,32.3816343482,32.3971013663,32.4134967919,32.4298931569,32.4462904612,32.4626887049,32.4818793869,32.5001432583,32.5193420826,
India,IND,21.505184667,21.553987468,21.602790269,21.6515930701,21.7003958711,21.7491986721,21.7980014732,21.8468042742,21.8956070752,21.9444098763,
Indonesia,IDN,65.4377142479,64.3813929354,63.325071623,62.2687503105,61.2124289981,60.1561076856,59.0997863731,58.0434650607,56.9871437482,55.9308224358,
Italy,ITA,25.8066709734,26.07153786,26.3364047465,26.6012716331,26.8661385196,27.1310054061,27.3958722927,27.6607391792,27.9256060658,28.1904729523,
Japan,JPN,68.4311574328,68.4108612178,68.3905650027,68.3702687877,68.3499725727,68.3296763577,68.3281207133,68.30781893,68.2875171468,68.2672153635,
"Korea, Rep.",KOR,66.0377358491,65.9527265188,65.8677171885,65.7827078582,65.6976985279,65.6126891976,65.5276798673,65.442670537,65.3576612067,65.2726518764,
Mexico,MEX,35.8856966486,35.7877517426,35.6898068366,35.5918619306,35.4939170246,35.3959721186,35.2980272126,35.2000823066,35.1021374007,35.0041924947,
Netherlands,NLD,10.2191943128,10.2636255924,10.308056872,10.3524881517,10.3969194313,10.4413507109,10.4857819905,10.5302132701,10.5746445498,10.6190758294,
Russian Federation,RUS,49.356465395,,49.3603470419,49.3736477934,49.390210685,49.4010518745,49.4042640231,49.4041279348,49.3980807384,49.3782924744,
Saudi Arabia,SAU,0.454484134922,0.454484134922,0.454484134922,0.454484134922,0.454484134922,0.454484134922,0.454484134922,0.454484134922,0.454484134922,0.454484134922,
Spain,ESP,27.6499479417,28.2841582572,28.9183485504,29.5525588659,30.1867491591,30.8209594746,31.4551497677,32.0893600833,32.7235503764,33.357760692,
Switzerland,CHE,29.1178628349,29.2266437299,29.335424625,29.44420552,29.552986415,29.6617673101,29.771301356,29.8808409442,29.990386075,30.0999367489,
Turkey,TUR,12.5021114042,12.5750035731,12.6478957421,12.7207879111,12.79368008,12.866572249,12.939464418,13.0123565869,13.0852487559,13.1581409249,
United Kingdom,GBR,11.4826602736,11.5554085893,11.6281569049,11.7009052205,11.7736535361,11.8464018518,11.9191501674,11.991898483,12.0646467987,12.1373951143,
United States,USA,33.0223082097,33.0341654511,33.0460226925,33.057879934,33.0697371754,33.0815944168,33.0934516583,33.1053088997,33.1171661411,33.1290233826,
Afghanistan,AFG,2.06782464847,2.06782464847,2.06782464847,2.06782464847,2.06782464847,2.06782464847,2.06782464847,2.06782464847,2.06782464847,2.06782464847,
Albania,ALB,28.7883211679,28.7171532847,28.6459854015,28.5748175182,28.503649635,28.4324817518,28.3613138686,28.2901459854,28.2189781022,28.147810219,
Algeria,DZA,0.699908470278,0.696213692511,0.692518914743,0.688824136975,0.685129359208,0.68143458144,0.677739803673,0.674045025905,0.670350248138,0.66665547037,
American Samoa,ASM,91.95,91.75,91.6,91.45,91.25,91.1,90.95,90.75,90.6,90.4,
Andorra,ADO,34.0425531915,34.0425531915,34.0425531915,34.0425531915,34.0425531915,34.0425531915,34.0425531915,34.0425531915,34.0425531915,34.0425531915,
Angola,AGO,48.9099221946,48.8098179193,48.709713644,48.6096093687,48.5095050934,48.4094008182,48.3092965429,48.2091922676,48.1090879923,48.008983717,
Antigua and Barbuda,ATG,23.4090909091,23.3409090909,23.2727272727,23.2045454545,23.1363636364,23.0681818182,23.0,22.9318181818,22.8636363636,22.7954545455,
Armenia,ARM,12.1882683527,,11.7527221637,11.7456972251,11.7386722866,11.7316473481,11.7246224096,11.717597471,11.7105725325,11.703547594,
Aruba,ABW,2.33333333333,2.33333333333,2.33333333333,2.33333333333,2.33333333333,2.33333333333,2.33333333333,2.33333333333,2.33333333333,2.33333333333,
Austria,AUT,45.7253572294,45.8004359409,45.8755146525,45.950593364,46.0256720756,46.1007507871,46.1758294987,46.2509082102,46.3259869218,46.4010656333,
Azerbaijan,AZE,11.2477017917,,10.2839564031,10.307989954,10.3320235048,10.3560570556,10.3800906065,10.4041241573,10.4438453762,10.5168974064,
"Bahamas, The",BHS,51.4485514486,51.4485514486,51.4485514486,51.4485514486,51.4485514486,51.4485514486,51.4485514486,51.4485514486,51.4485514486,51.4485514486,
Bahrain,BHR,0.31884057971,0.333333333333,0.352112676056,0.366197183099,0.394366197183,0.408450704225,0.43661971831,0.450704225352,0.478873239437,0.507042253521,
Bangladesh,BGD,11.4772989168,11.4573250365,11.4373511562,11.4173772759,11.3974033956,11.3774295152,11.3574556349,11.3374817546,11.3175078743,11.297533994,
Barbados,BRB,14.6511627907,14.6511627907,14.6511627907,14.6511627907,14.6511627907,14.6511627907,14.6511627907,14.6511627907,14.6511627907,14.6511627907,
Belarus,BLR,38.3553539736,,38.8414513903,39.0845000986,39.3275488069,39.5705975153,39.8136462236,40.056694932,40.2997436403,40.5427923486,
Belgium,BEL,,,,,,,,,,,
Belize,BLZ,70.8474353354,70.1600175362,69.4730381412,68.7860587462,68.0990793512,67.411661552,66.7246821569,66.0377027619,65.3507233669,64.6633055677,
Benin,BEN,51.0908123448,50.4700248315,49.8492373182,49.2284498049,48.6076622916,47.9868747783,47.366087265,46.7452997517,46.1245122384,45.5037247251,
Bermuda,BMU,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,
Bhutan,BTN,53.6504505276,53.8629796888,54.07550885,54.2880380113,63.9806532663,64.2301507538,64.4796482412,64.7291457286,64.9783919598,65.2278894472,
Bolivia,BOL,57.9663989661,57.7167912859,57.4671836056,57.2175759254,56.9679682452,56.7183605649,56.4687528847,56.2191452045,55.9695375242,55.719929844,
Bosnia and Herzegovina,BIH,43.3333333333,,43.06640625,43.017578125,42.96875,42.919921875,42.87109375,42.822265625,42.7734375,42.724609375,
Botswana,BWA,24.2055299702,23.9967885942,23.7880472183,23.5793058423,23.3705644663,23.1618230904,22.9530817144,22.7443403384,22.5355989625,22.3268575865,
Brunei Darussalam,BRN,78.3681214421,78.064516129,77.7609108159,77.4573055028,77.1537001898,76.8500948767,76.5464895636,76.2428842505,75.9392789374,75.6356736243,
Bulgaria,BGR,30.0732170297,30.1166048992,30.1599927687,30.2033806382,30.2467685076,30.2901563771,30.3335442466,30.3769321161,30.4203199855,30.463707855,
Burkina Faso,BFA,25.0255847953,24.8066520468,24.5877192982,24.3687865497,24.1498538012,23.9309210526,23.7119883041,23.4930555556,23.274122807,23.0551900585,
Burundi,BDI,11.253894081,10.8995327103,10.5451713396,10.1908099688,9.83644859813,9.48208722741,9.1277258567,8.77336448598,8.41900311526,8.06464174455,
Cabo Verde,CPV,14.3300248139,14.9330024814,15.5384615385,16.141439206,16.746898263,17.3498759305,17.952853598,18.5583126551,19.1612903226,19.7667493797,
Cambodia,KHM,73.328801269,72.5368230229,71.7448447768,70.9528665307,70.1608882846,69.3689100385,68.5769317924,67.7849535463,66.9929753002,66.2009970542,
Cameroon,CMR,51.4395718305,50.9741702101,50.5087685896,50.0433669692,49.5779653487,49.1125637283,48.6471621078,48.1817604874,47.716358867,47.2509572465,
Canada,CAN,38.2990726353,38.2938931172,38.288713599,38.2835340809,38.2783545628,38.2731750446,38.2679955265,38.2628160083,38.2576364902,38.2524569721,
Cayman Islands,CYM,52.9166666667,52.9166666667,52.9166666667,52.9166666667,52.9166666667,52.9166666667,52.9166666667,52.9166666667,52.9166666667,52.9166666667,
Central African Republic,CAF,36.213040547,36.1879996148,36.1629586825,36.1379177502,36.1128768179,36.0878358856,36.0627949533,36.037754021,36.0127130887,35.9876721564,
Chad,TCD,5.3248094028,5.29471092757,5.26461245235,5.23451397713,5.20441550191,5.17431702668,5.14421855146,5.11412007624,5.08402160102,5.05392312579,
Channel Islands,CHI,4.12371134021,4.12371134021,4.12371134021,4.12371134021,4.12371134021,4.12371134021,4.12371134021,4.12371134021,4.12371134021,4.12371134021,
Chile,CHL,20.5276975302,20.6044931489,20.6812887677,20.7580843864,20.8348800052,20.9116756239,20.9884712427,21.0652668614,21.1420624802,21.2188580989,
Colombia,COL,58.0594862551,57.8234700315,57.5874628211,57.3514465976,57.1154393871,56.8794231636,56.6434069401,56.4073997296,56.1713835061,55.9353762956,
Comoros,COM,26.3299301451,26.1149919398,25.9000537346,25.6851155293,25.470177324,25.2552391188,25.0403009135,24.8253627082,24.610424503,24.3954862977,
"Congo, Dem. Rep.",ZAR,70.7364195761,70.599060453,70.4617013299,70.3243422068,70.1869830837,70.0496239607,69.9122648376,69.7749057145,69.6375465914,69.5001874683,
"Congo, Rep.",COG,66.5475841874,66.4978038067,66.4480234261,66.3982430454,66.3484626647,66.298682284,66.2489019034,66.1991215227,66.149341142,66.0995607613,
Costa Rica,CRI,50.2154328241,49.8472385429,49.4790442617,49.1108499804,48.7426556992,48.3744614179,48.0062671367,47.6380728555,47.2698785742,46.901684293,
Cote d'Ivoire,CIV,32.1446540881,32.1779874214,32.2113207547,32.2446540881,32.2779874214,32.3113207547,32.3446540881,32.3779874214,32.4113207547,32.4446540881,
Croatia,HRV,33.0888928635,,33.2140940798,33.2766946879,33.339295296,33.4018959041,33.4226509468,33.4851732762,33.5896977285,33.6522983366,
Cuba,CUB,19.1620111732,19.5130353818,19.8640595903,20.2150837989,20.5661080074,20.917132216,21.2681564246,21.6191806331,21.9702048417,22.3212290503,
Curacao,CUW,,,,,,,,,,,
Cyprus,CYP,17.4361471861,17.5497835498,17.6634199134,17.7770562771,17.8906926407,18.0043290043,18.117965368,18.2316017316,18.3452380952,18.4588744589,
Czech Republic,CZE,34.0235537725,,,34.0546136922,34.0649669988,34.0753203054,34.085673612,34.0960269186,34.1063802252,34.1167335318,
Denmark,DNK,12.8143430054,12.9141306912,13.0016497761,13.1013433891,13.2010370021,13.3007306151,13.4004242281,13.5001178412,13.5998114542,13.6995050672,
Djibouti,DJI,0.241587575496,0.241587575496,0.241587575496,0.241587575496,0.241587575496,0.241587575496,0.241587575496,0.241587575496,0.241587575496,0.241587575496,
Dominica,DMA,66.6666666667,66.3066666667,65.96,65.6,65.24,64.88,64.5333333333,64.1733333333,63.8133333333,63.4666666667,
Dominican Republic,DOM,22.8683774834,23.6568708609,24.4453642384,25.2338576159,26.0223509934,26.8108443709,27.5993377483,28.3878311258,29.1763245033,29.9648178808,
Ecuador,ECU,52.849479844,52.5236598757,52.1978760295,51.8720921832,51.546272215,51.2204883687,50.8947045225,50.5689206762,56.0045901111,55.6414478982,
"Egypt, Arab Rep.",EGY,0.0442011150736,0.0457079712693,0.047214827465,0.0487216836607,0.0502285398563,0.051735396052,0.0532422522477,0.0547491084434,0.0562559646391,0.0577628208348,
El Salvador,SLV,18.194980695,17.9777992278,17.7606177606,17.5434362934,17.3262548263,17.1090733591,16.8918918919,16.6747104247,16.4575289575,16.2403474903,
Equatorial Guinea,GNQ,66.3101604278,65.8930481283,65.4759358289,65.0588235294,64.6417112299,64.2245989305,63.807486631,63.3903743316,62.9732620321,62.5561497326,
Eritrea,ERI,16.0495049505,,,15.9158415842,15.8712871287,15.8267326733,15.7821782178,15.7376237624,15.6930693069,15.6485148515,
Estonia,EST,49.3040811512,,52.2151450814,52.3024298184,52.3897145553,52.4769992923,52.5642840293,52.6515687662,52.7388535032,52.8261382402,
Ethiopia,ETH,15.199818347,15.0677565849,14.9356948229,14.6913,14.5504,14.4095,14.2686,14.1277,13.9868,13.8459,
Faeroe Islands,FRO,0.0573065902579,0.0573065902579,0.0573065902579,0.0573065902579,0.0573065902579,0.0573065902579,0.0573065902579,0.0573065902579,0.0573065902579,0.0573065902579,
Fiji,FJI,52.1565407772,52.3070607553,52.4581280788,52.6086480569,52.7597153804,52.9102353585,53.0607553366,53.2118226601,53.3623426382,53.5134099617,
Finland,FIN,71.817853508,72.0049903148,72.1921271217,72.3792639286,72.5664007354,72.7535375423,72.9406743491,73.127811156,73.3149479628,73.5020847697,
French Polynesia,PYF,15.0273224044,16.393442623,17.7595628415,19.1256830601,20.4918032787,21.8579234973,23.2240437158,24.5901639344,25.956284153,27.3224043716,
Gabon,GAB,85.3805254783,85.3805254783,85.3805254783,85.3805254783,85.3805254783,85.3805254783,85.3805254783,85.3805254783,85.3805254783,85.3805254783,
"Gambia, The",GMB,43.6758893281,43.8636363636,44.0513833992,44.2391304348,44.4268774704,44.6146245059,44.8023715415,44.9901185771,45.1778656126,45.3656126482,
Georgia,GEO,39.9913656641,,39.6310260469,39.6429702115,39.6549143762,39.6668585408,39.6788027054,39.6907468701,39.7026910347,39.7146351993,
Ghana,GHA,37.9142128856,38.038147139,38.1620813923,38.2860156456,38.4099498989,38.5338841522,38.6578184056,38.7817526589,38.9056869122,39.0296211655,
Greece,GRC,25.5934833204,25.8277734678,26.0620636152,26.2963537626,26.53064391,26.7649340574,26.9992242048,27.2335143522,27.4678044996,27.702094647,
Greenland,GRL,0.000643839625402,0.000643839625402,0.000643839625402,0.000643839625402,0.000643839625402,0.000643839625402,0.000643839625402,0.00053599707638,0.00053599707638,0.00053599707638,
Grenada,GRD,49.9705882353,49.9705882353,49.9705882353,49.9705882353,49.9705882353,49.9705882353,49.9705882353,49.9705882353,49.9705882353,49.9705882353,
Guam,GUM,46.2962962963,46.2962962963,46.2962962963,46.2962962963,46.2962962963,46.2962962963,46.2962962963,46.2962962963,46.2962962963,46.2962962963,
Guatemala,GTM,44.3075774543,43.8036580814,43.2997387085,42.7958193356,42.2918999627,41.7879805898,41.2840612169,40.780141844,40.2762224711,39.7723030982,
Guinea,GIN,29.5621032069,29.4155949862,29.2690867654,29.1225785447,28.9760703239,28.8295621032,28.6830538825,28.5365456617,28.390037441,28.2435292203,
Guinea-Bissau,GNB,78.8051209104,78.4637268848,78.1223328592,77.7809388336,77.439544808,77.0981507824,76.7567567568,76.4153627312,76.0739687055,75.7325746799,
Guyana,GUY,84.6329692659,84.6136652273,84.5943611887,84.5750571501,84.5557531115,84.5364490729,84.5171450343,84.4978409957,84.4785369571,84.4592329185,
Haiti,HTI,4.20899854862,4.18359941945,4.15820029028,4.1328011611,4.10740203193,4.08200290276,4.05660377358,4.03120464441,4.00580551524,3.98040638607,
Honduras,HND,72.7142729466,71.1555992493,69.5969255519,68.0382518545,66.4795781571,64.9209044597,63.3622307624,61.803557065,60.2448833676,58.6862096702,
"Hong Kong SAR, China",HKG,,,,,,,,,,,
Hungary,HUN,20.0400578614,20.1691331924,20.2982085234,20.4295570888,20.5586467839,20.687736479,20.816826174,20.9599109131,21.0890868597,21.2182628062,
Iceland,ISL,0.160598503741,0.173266832918,0.185935162095,0.198603491272,0.211271820449,0.223940149626,0.236608478803,0.24927680798,0.261945137157,0.274613466334,
"Iran, Islamic Rep.",IRN,5.57309262841,5.58841914587,5.60374566332,5.61907218077,5.63439869823,5.64972521568,5.66505173314,5.68037825059,5.69570476805,5.7110312855,
Iraq,IRQ,1.83826051169,1.84146146283,1.84466241397,1.84786336511,1.85106431625,1.85426526739,1.85746621853,1.86066716967,1.86386812081,1.86706907195,
Ireland,IRL,6.74989113079,6.99666134417,7.24328639861,7.49005661199,7.73668166642,7.98345187981,8.23007693424,8.47684714763,8.72347220206,8.97024241544,
